Model,Best Parameters
Logistic Regression,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}"
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}"
Gradient Boosting,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}"
SVM,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
K-Nearest Neighbors,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}"
