,precision,recall,f1-score,support
0,0.7368421052631579,0.8235294117647058,0.7777777777777778,34.0
1,0.8,0.7058823529411765,0.75,34.0
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
macro avg,0.7684210526315789,0.7647058823529411,0.7638888888888888,68.0
weighted avg,0.768421052631579,0.7647058823529411,0.7638888888888888,68.0
