,precision,recall,f1-score,support
0,0.7435897435897436,0.8529411764705882,0.7945205479452054,34.0
1,0.8275862068965517,0.7058823529411765,0.7619047619047619,34.0
accuracy,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7794117647058824
macro avg,0.7855879752431476,0.7794117647058824,0.7782126549249837,68.0
weighted avg,0.7855879752431477,0.7794117647058824,0.7782126549249837,68.0
