,precision,recall,f1-score,support
0,0.7142857142857143,0.7352941176470589,0.7246376811594203,34.0
1,0.7272727272727273,0.7058823529411765,0.7164179104477612,34.0
accuracy,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7205882352941176
macro avg,0.7207792207792207,0.7205882352941178,0.7205277958035907,68.0
weighted avg,0.7207792207792207,0.7205882352941176,0.7205277958035907,68.0
