,precision,recall,f1-score,support
0,0.7222222222222222,0.7647058823529411,0.7428571428571429,34.0
1,0.75,0.7058823529411765,0.7272727272727273,34.0
accuracy,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
macro avg,0.7361111111111112,0.7352941176470589,0.7350649350649351,68.0
weighted avg,0.7361111111111112,0.7352941176470589,0.7350649350649351,68.0
