Model,Accuracy,ROC-AUC,Training Time (s)
Logistic Regression,0.7647058823529411,0.852076124567474,3.7012946605682373
Random Forest,0.7352941176470589,0.8295847750865052,10.943285703659058
Gradient Boosting,0.7205882352941176,0.7975778546712802,15.182115077972412
SVM,0.7794117647058824,0.860726643598616,1.1634626388549805
K-Nearest Neighbors,0.75,0.7902249134948096,0.27773451805114746
