bright_objects_mean_intensity,hog_std,std_brightness,hog_mean,glcm_correlation,mean_brightness,bright_objects_total_area,bright_objects_count,glcm_homogeneity,glcm_contrast,gradient_orientation_entropy,dark_objects_total_area,glcm_energy,dark_objects_count
157.37060644201838,0.0882447213703256,43.72743416186002,0.1400723975386656,0.97384961854831,77.18226623535156,485.0,5,0.3628089351857461,356.7626419430079,2.007326962768158,58.0,0.1636122629563888,4
158.5485994397759,0.1011027423328784,49.63297192048665,0.1306223032366407,0.9714700297039291,75.69354248046875,418.0,3,0.3908004917279285,387.1998094826107,1.884838572896668,20.0,0.1693359824877561,4
161.92820512820512,0.0913729500119903,35.536802380263914,0.1376042681654852,0.975634735975348,53.368011474609375,96.0,5,0.345670165855296,341.56103992221165,1.962051166550702,8.0,0.192404743728101,1
170.95677541938375,0.0941521546139833,33.86773678175431,0.1361718736848984,0.9408985983892952,60.31654357910156,711.0,13,0.3775216685229285,820.3466395121386,1.9826070352326812,168.0,0.1755542908075036,22
170.19587207085934,0.0869947794955056,29.90821540713922,0.1404131722908713,0.9559699964688542,51.23698425292969,942.0,18,0.3327825578469615,605.7888490629064,2.005589529483488,139.0,0.1705972570407141,13
153.48338820656576,0.0950265402521482,27.955549006702125,0.1351070215002037,0.980424539756554,43.23493957519531,230.0,6,0.3800637253923666,272.5693026154252,1.9225200528120705,0.0,0.1847626563966158,0
182.18800308702217,0.0876961284283615,52.11890572914368,0.139976211087842,0.9362471738229168,93.10870361328124,1572.0,19,0.2909083681105749,878.9068851635855,1.990618994373088,149.0,0.164573779042715,15
167.68343317995956,0.0961377268423732,56.16389453293954,0.1343186066344607,0.9569703916253838,100.91226196289062,246.0,7,0.364827718452547,588.119464319317,1.9564690389269657,183.0,0.1708808354731887,14
161.12938636231937,0.0919707478811907,46.679757324300205,0.1372054377407568,0.965339235800525,79.16128540039062,707.0,10,0.330511522375548,480.58625382069926,1.994708117705797,10.0,0.1752297657598218,2
154.65489841071238,0.0875152581595587,40.76611973208995,0.1409678820915649,0.9602895432331636,71.11669921875,924.0,9,0.3089000947166861,538.1745757096427,2.001568447946566,69.0,0.1571794287809098,8
165.41666666666666,0.0899549503738594,43.086122304758575,0.1389802658836297,0.9849162746143248,73.50227355957031,12.0,1,0.3513438423050861,206.35418048173784,1.9866422243739523,15.0,0.167932016930942,2
157.75277777777777,0.0886034909162153,43.78847576610652,0.1398457321455449,0.9821324348148966,78.35035705566406,75.0,3,0.3702459208606427,243.9545293071928,1.9813511604352456,10.0,0.1605195340084728,2
157.20833333333334,0.0882811532848555,34.49671183880755,0.1404895090990156,0.9646369722841684,63.76905822753906,36.0,2,0.352622120032713,484.14484209176766,1.9995861672581532,15.0,0.1602853064411716,3
163.57724521743177,0.0938666468522343,22.68979193076125,0.1354604976746683,0.9776260087266128,35.70603942871094,604.0,5,0.4196167134250643,310.52324620186045,1.951456432410437,10.0,0.1864081191598007,2
